id	interarrival	mongrel	database	transfer	total
436	4.0	0.07745	0.57408	0.04343	0.69496
437	4.0	0.33015	0.56638	0.33184	1.22837
438	12.0	0.86198	0.80218	1.55561	3.21977
439	1.0	0.29518	0.74436	0.29583	1.33537
440	42.0	0.39475	0.69466	0.04827	1.13768
441	24.0	0.15025	0.53255	0.03612	0.71892
442	0.0	0	0.00000	0.00283	0.00283
443	1.0	0	0.00000	0.00285	0.00285
444	49.0	0.03728	0.54155	0.02314	0.60197
445	89.0	0.03138	0.51672	0.0218800000000001	0.56998
446	51.0	0.06009	0.55476	0.02703	0.64188
447	61.0	0.04159	0.52207	0.0317599999999999	0.59542
448	48.0	0.16513	0.57855	0.0464	0.79008
449	33.0	0	0.00000	0.00277	0.00277
450	151.0	0	0.00049	0.00267	0.00316
451	22.0	0.09010	0.56138	0.04554	0.69702
452	4.0	0.11615	0.55263	0.0892400000000001	0.75802
453	34.0	0.07461	0.56038	0.0353800000000001	0.67037
454	10.0	0.04602	0.53992	0.0273200000000001	0.61326
455	13.0	0.16642	0.54774	0.05592	0.77008
456	15.0	0.03911	0.54425	0.10858	0.69194
457	16.0	0.03486	0.51687	0.0173099999999999	0.56904
458	1.0	0.00741	0.00204	0.00178	0.01123
459	34.0	0.03802	0.54946	0.0220399999999999	0.60952
460	1.0	0.04122	0.53757	0.11058	0.68937
461	90.0	0	0.00416	0.01285	0.01701
462	117.0	0.03967	0.53184	0.02525	0.59676
463	4.0	0.27569	0.74879	0.0815	1.10598
464	1.0	0.59228	0.97187	0.38715	1.95130
465	48.0	0.04719	0.52619	0.0430700000000001	0.61645
466	50.0	0.87567	0.77968	1.54839	3.20374
467	106.0	0.03668	0.53629	0.0286399999999999	0.60161
468	29.0	0.04480	0.52819	0.02821	0.60120
469	13.0	0.03557	0.51442	0.02652	0.57651
470	39.0	0.03732	0.52838	0.0198900000000001	0.58559
471	3.0	0.04210	0.54950	0.03188	0.62348
472	80.0	0.03434	0.54873	0.0292299999999999	0.61230
473	116.0	0.13269	0.52230	0.02635	0.68134
474	13.0	0.94020	0.79759	1.52261	3.26040
475	37.0	0.07253	0.56060	0.03415	0.66728
476	83.0	0.03518	0.54400	0.02627	0.60545
477	14.0	0.05012	0.53674	0.02295	0.60981
478	2.0	0.04009	0.57089	0.02057	0.63155
479	10.0	0.47571	0.74833	1.58253	2.80657
480	19.0	0	0.00000	0.00061	0.00061
481	22.0	0	0.00000	0.0006	0.00060
482	3.0	0.29998	0.64808	0.05052	0.99858
483	15.0	0.14945	0.55051	0.02849	0.72845
484	19.0	0.03517	0.52149	0.0160699999999999	0.57273
485	21.0	0.16457	0.54853	0.0286700000000001	0.74177
486	41.0	0.06437	0.57126	0.0332399999999999	0.66887
487	89.0	0.40566	0.76467	1.66181	2.83214
488	64.0	0.14874	0.67064	0.27623	1.09561
489	96.0	0.05611	0.52383	0.02947	0.60941
490	3.0	0.22252	0.55541	0.0989500000000001	0.87688
491	15.0	0.28726	0.60953	0.09882	0.99561
492	14.0	0.29784	0.55087	0.10195	0.95066
493	98.0	0.88652	0.88010	1.52686	3.29348
494	8.0	0.05647	0.53989	0.0222599999999999	0.61862
495	68.0	0.05307	0.54207	0.0440199999999999	0.63916
496	95.0	0.03006	0.52031	0.02506	0.57543
497	71.0	0.19491	0.54847	0.0871499999999999	0.83053
498	114.0	0.03321	0.54314	0.0252800000000001	0.60163
499	10.0	0.03491	0.52017	0.0255	0.58058
500	37.0	0.04098	0.55232	0.02269	0.61599
501	9.0	0.05094	0.53830	0.03584	0.62508
502	66.0	0.05845	0.52258	0.03457	0.61560
503	54.0	0.05395	0.53617	0.02702	0.61714
504	42.0	0.14513	0.55257	0.03305	0.73075
505	10.0	0	0.00000	0.00271	0.00271
506	6.0	0.21331	0.53420	0.04959	0.79710
507	23.0	0.08156	0.55049	0.04958	0.68163
508	88.0	0.09721	0.57249	0.05302	0.72272
509	25.0	0	0.00000	0.00067	0.00067
510	179.0	0.06750	0.51963	0.0324599999999999	0.61959
511	22.0	0.03510	0.66088	0.0251199999999999	0.72110
512	11.0	0.03726	0.52470	0.03599	0.59795
513	1.0	0.05823	0.55263	0.03422	0.64508
514	1.0	0.08695	0.61351	0.1355	0.83596
515	1.0	0.05220	0.55687	0.03627	0.64534
516	1.0	0.12381	0.54705	0.0283599999999999	0.69922
517	22.0	0.27089	0.64061	0.03676	0.94826
518	17.0	0.23919	0.66136	0.04283	0.94338
519	55.0	0.24054	0.56086	0.09099	0.89239
520	55.0	0.05876	0.55228	0.03043	0.64147
521	40.0	0	0.00000	0.00293	0.00293
522	166.0	0.03468	0.52443	0.03727	0.59638
523	9.0	0.11991	0.54263	0.01853	0.68107
524	55.0	0.03845	0.57794	0.0232	0.63959
